name,category,gender,price,image_url,image_path
SEOUL + LISBOA EDT 2 X 90 ML / 3.38 OZ,Unknown,Men,0.00,https://static.zara.net/assets/public/3522/fdc2/7fbd4929ba89/b800fb281af0/20210754999-e1/20210754999-e1.jpg?ts=1724755229742&w=201,Failed to download
SILVER + GOLD EDT 2 X 90 ML / 3.04 OZ,Unknown,Men,0.00,https://static.zara.net/assets/public/8fae/a429/5b7347e08eaf/148562cbb98d/20210769999-e1/20210769999-e1.jpg?ts=1724755254071&w=201,Failed to download
100% LINEN SHIRT,Shirts,Men,0.00,https://static.zara.net/assets/public/5e1d/1ff7/b2c941b388c2/750b2410bb79/04024158620-e1/04024158620-e1.jpg?ts=1741853737286&w=201,Failed to download
BASIC CONTRAST RIB T-SHIRT,Shirts,Men,0.00,https://static.zara.net/assets/public/4388/72f3/ee004de7ae21/2b949645d680/00761412251-e1/00761412251-e1.jpg?ts=1737452354752&w=201,Failed to download
T-SHIRT WITH CONTRASTING RIBBED TRIMS,Shirts,Men,0.00,https://static.zara.net/assets/public/7be8/5e5d/44734f348134/69f3a0bf0cd8/00962465600-e1/00962465600-e1.jpg?ts=1743434217617&w=201,Failed to download
100% LINEN POLO SHIRT,Shirts,Men,0.00,https://static.zara.net/assets/public/c37f/5d95/907744f2ac12/a3e7be5e1df1/04592184700-e1/04592184700-e1.jpg?ts=1741688999683&w=201,Failed to download
SEOUL + SEOUL SUMMER EDT 2 X 90 ML / 3.04 OZ,Unknown,Men,0.00,https://static.zara.net/assets/public/abd9/d541/544748749106/a826fb7bb311/20210218999-e1/20210218999-e1.jpg?ts=1740671627112&w=201,images\09ec752c-8b28-4d5d-8605-1ae22719f5e3.jpg
STRIPED JACQUARD T-SHIRT,Shirts,Men,0.00,https://static.zara.net/assets/public/3a9b/c7f4/f689484dac67/fb4fb16d8c4f/04092310061-e1/04092310061-e1.jpg?ts=1737019020877&w=201,images\e950168b-68df-40e1-a8df-b8ee387ac20e.jpg
STRIPED T-SHIRT,Shirts,Men,0.00,https://static.zara.net/stdstatic/6.65.0/images/transparent-background.png,images\1bf269f6-464a-4a36-b957-fb0ea2c8aa81.jpg
CONTRAST PATCH SHIRT,Shirts,Men,0.00,https://static.zara.net/stdstatic/6.65.0/images/transparent-background.png,images\4ca6d97d-b139-4b04-b70f-344dc50a8d30.jpg
